ASIN,price,quantity,open_date,item_is_marketplace,featured_offer_buy_box_percentage,Sales Rank: Current,Reviews: Rating,Reviews: Review Count,Buy Box ðŸšš: Stock,Buy Box: Is FBA,Brand,Prime Eligible (Buy Box),Subscribe and Save,Last Price Change,Buy Box Seller
B0CXNBQR3R,5.95,36,2024-03-10 17:58:50,y,100.0,151989.0,4.0,1.0,37.0,no,Univer Product Zrt.,no,no,2024/05/17 11:48,1
B0CXN94L79,5.95,31,2024-03-10 18:32:24,y,100.0,117378.0,4.0,1.0,31.0,no,Univer Product Zrt.,no,no,2024/05/31 00:52,1
B00V7VXO54,34.43,12,2024-03-11 13:12:28,y,3.55,33122.0,4.2,4.0,12.0,no,Frosch,no,no,2024/06/04 04:10,1
B00IE3T376,55.89,15,2024-03-11 13:15:14,y,18.18,47925.0,4.2,2115.0,38.0,no,Frosch,no,no,2024/05/15 13:26,1
B00Q8PD558,27.49,26,2024-03-11 13:18:39,y,18.75,64741.0,5.0,5.0,47.0,no,Frosch,no,no,2024/06/03 13:22,1
B09YV4NVWW,12.94,0,2024-03-11 16:43:22,y,10.7,3432.0,4.2,44.0,325.0,yes,Falim,yes,no,2024/06/02 05:14,1
B09YS23521,9.89,188,2024-03-20 21:47:19,y,16.41,54708.0,4.1,13.0,84.0,yes,Falim,yes,no,2024/06/02 20:24,1
B0CYY5FYBG,17.95,39,2024-03-24 14:11:09,y,69.23,448991.0,0.0,0.0,39.0,no,Haci Sakir,no,no,2024/05/09 00:16,0
B07T693MSD,19.24,89,2024-03-26 12:48:13,y,0.0,58116.0,5.0,6.0,4.0,no,Funny-Frisch,no,no,2024/06/04 02:56,1
B079TNYXLJ,12.49,18,2024-03-29 17:42:33,y,5.01,43156.0,4.5,13.0,20.0,no,Dreambaby,no,no,2024/05/21 06:36,1
B0CT6BG5JZ,14.49,0,2024-04-03 08:12:31,y,100.0,273993.0,0.0,0.0,0.0,no,Pufai,no,no,2024/05/31 06:36,0
B00T6844CC,36.95,37,2024-04-03 08:33:51,y,0.0,55830.0,4.2,2115.0,37.0,no,Frosch,no,no,2024/05/09 10:18,0
B07QYT1VP7,35.5,0,2024-04-03 09:48:10,y,73.49,27163.0,5.0,6.0,4.0,no,Coppenrath,no,no,2024/04/22 03:18,1
B0CYGW2NNN,9.89,87,2024-04-09 17:20:56,y,23.32,11262.0,3.0,2.0,88.0,no,FLAMINGO ON THE BEACH,yes,no,2024/06/04 06:44,1
B085X2LKLW,14.0,146,2024-04-10 11:40:19,y,0.0,76044.0,4.7,13.0,146.0,no,BIOBLAS,no,no,2022/05/17 15:12,1
B018AM7ICW,12.98,47,2024-04-13 20:27:29,y,47.37,60366.0,4.6,16.0,47.0,no,Pereja,no,no,2024/06/01 02:18,1
B00NLDM93E,7.85,61,2024-04-13 21:17:31,y,99.35,60366.0,5.0,4.0,20.0,no,Basak,no,no,2024/05/29 05:48,1
B017WFGKQI,29.85,40,2024-04-13 21:26:02,y,21.88,60366.0,4.4,331.0,28.0,yes,PERGAMO Natural Flavor,yes,no,2024/05/12 00:12,1
B0BWYJXRBL,21.79,33,2024-04-13 21:29:56,y,45.45,43418.0,4.3,61.0,107.0,no,Titiz,no,no,2024/06/01 23:30,1
B018ALV5MM,13.79,79,2024-04-13 21:32:59,y,14.63,43572.0,4.3,61.0,214.0,no,Titiz,no,no,2024/04/18 05:50,1
B09L8B5YQW,17.95,48,2024-04-13 21:37:57,y,100.0,23271.0,4.4,34.0,50.0,no,PERGAMO Natural Flavor,no,no,2024/05/11 12:14,1
B017Z11QK4,9.97,47,2024-04-13 21:48:07,y,1.23,7578.0,4.4,661.0,134.0,no,BOGAZICI,no,no,2024/06/03 21:30,1
B07DNXQZFC,15.79,15,2024-04-13 21:53:34,y,13.18,9044.0,4.4,661.0,221.0,no,BOGAZICI,no,no,2024/06/01 05:44,1
B09D3ZCCKQ,48.49,3,2024-04-14 13:41:44,y,8.79,28283.0,5.0,1.0,3.0,no,Genel,no,no,2024/05/30 23:44,1
B07SM13TBC,9.95,22,2024-04-14 13:49:07,y,0.1,12745.0,4.3,104.0,1000.0,no,Dasty Italy,no,no,2024/05/04 17:08,1
B0D1P7385L,24.49,20,2024-04-14 14:02:59,y,100.0,6577.0,5.0,1.0,24.0,no,Generisch,no,no,2024/06/01 16:02,1
B0D1P7PLQS,23.85,38,2024-04-14 14:47:02,y,100.0,4953.0,0.0,0.0,27.0,no,Generisch,no,no,2024/04/24 14:44,1
B0D2NJ9XHG,9.95,94,2024-04-25 09:21:02,y,100.0,123142.0,0.0,0.0,94.0,yes,Falim,yes,no,2024/06/03 04:38,1
B07HH6KH5H,13.49,0,2024-04-25 13:44:05,y,100.0,171735.0,4.2,91.0,0.0,no,Bioxsine,no,no,2024/05/10 12:20,0
B012I5MF8Y,5.89,500,2024-04-25 21:25:22,y,0.0,86939.0,4.5,168.0,500.0,no,Funny-Frisch,yes,no,2024/04/25 22:52,0
